auction_date,auction_city,auction_region,auction_item,starting_price,target_price,item_ts
11.02.2026,Rybki,pomorskie,Wiertarka kolumnowa TOPTOOL SE 380V,780.0,1040.0,2025-12-22 22:06:07
11.02.2026,Rybki,pomorskie,Piła tarczowa do cięcia listew ST 48/PCV,690.0,920.0,2025-12-22 22:06:07
11.02.2026,Rybki,pomorskie,Piła ukośnica DeWalt DWS 780 wraz ze stołem,1817.0,2423.0,2025-12-22 22:06:07
11.02.2026,Rybki,pomorskie,"Frezarka RINALDI LILLIPUT 9M, prod. 1995",4725.0,6300.0,2025-12-22 22:06:07
11.02.2026,Rybki,pomorskie,Frezarko-kopiarka do profili PCV / ALU (ST.28/9L),8925.0,11900.0,2025-12-22 22:06:07
11.02.2026,Rybki,pomorskie,"Frezarko-obrabiarka górnowrzecionowa TIGER, prod. 2004",5475.0,7300.0,2025-12-22 22:06:07
11.02.2026,Rybki,pomorskie,"Przecinarka przemysłowa – gilotyna hydrauliczna do blach, bez oznaczenia producenta",5550.0,7400.0,2025-12-22 22:06:07
11.02.2026,Rybki,pomorskie,"Wiertarka stołowa ZREMB WS-151, prod. 1987",952.0,1270.0,2025-12-22 22:06:07
12.02.2026,OLSZTYN,warmińsko-mazurskie,AUDI A4,6000.0,8000.0,2025-12-22 22:06:08
12.02.2026,Warszawa,mazowieckie,Samochody osobowe,15000.0,20000.0,2025-12-22 22:06:09
19.02.2026,Bytów,pomorskie,Samochód osobowy Volkswagen Golf GTI 2005r.,11650.0,23300.0,2025-12-22 22:06:09
24.02.2026,KĘDZIERZYN-KOŹLE,opolskie,"Samochody osobowe: CHEVROLET CAPTIVA    nr rej. OK89968, VIN KL1CD26RJ7B144144, rok produkcji 2008, , przebieg: 260842 km,pojemność 1991 ccm, paliwo: diesel, moc 150 km, kolor: srebrny metalic",13500.0,18000.0,2025-12-22 22:06:10
25.02.2026,Orneta,warmińsko-mazurskie,Samochód osobowy marki: VOLKSWAGEN TOURAN,4450.0,8900.0,2025-12-22 22:06:11
25.02.2026,Orneta,warmińsko-mazurskie,Samochód osobowy marki: RENAULT MEGANE SCENIC,700.0,1400.0,2025-12-22 22:06:11
25.02.2026,Flesberg,warmińsko-mazurskie,Samochód osobowy marki VOLKSWAGEN TRANSPORTER 1.9D,1125.0,1500.0,2025-12-22 22:06:12
26.02.2026,OLSZTYN,warmińsko-mazurskie,KIA SPORTAGE,11250.0,15000.0,2025-12-22 22:06:12
18.03.2026,Puck,pomorskie,CITROEN C3 r.2004,2000.0,4000.0,2025-12-22 22:06:14
18.03.2026,Puck,pomorskie,"OTVC ""LG"" + PILOT (2015r)",300.0,600.0,2025-12-22 22:06:14
18.03.2026,Puck,pomorskie,"ZESTAW KINA DOMOWEGO""PIONIER"" + PILOT + 3 KOLUMNY (2015r)",100.0,200.0,2025-12-22 22:06:14
18.03.2026,Puck,pomorskie,"LAPTOP ""ASUS"" + ZASILACZ (2015r)",350.0,700.0,2025-12-22 22:06:14
18.03.2026,Puck,pomorskie,"PRALKA AUTOMATYCZNA ""BOSCH"" (2014r)",300.0,600.0,2025-12-22 22:06:14
18.03.2026,Puck,pomorskie,"LODÓWKA ""WHIRPOOL"" (2017r)",600.0,1200.0,2025-12-22 22:06:14
18.03.2026,Puck,pomorskie,"ZMYWARKA ""WHIRPOOL""",300.0,600.0,2025-12-22 22:06:14
